TestIteration, Error, X, Y, Z, Rx, Ry, Rz, 
1, 2, 0.10719744227447588, 0, 0, 1168.3956135812568, 0, 0, 0, randTranslation
1, 3, 0.09316412709908761, 0, 0, 1168.3956135812568, 0.592467681429256, 0, 0, randTranslation
1, 5, 0.07065949763419992, 0, 0, 1168.3956135812568, 0.592467681429256, 0, -0.47680694381769473, randTranslation
2, 1, 0.06644477472893374, 0, -12.080509396298789, 1168.3956135812568, 0.592467681429256, 0, -0.47680694381769473, randTranslation
5, 3, 0.06511581054932326, 0, -12.080509396298789, 1168.3956135812568, 0.7006879517903377, 0, -0.47680694381769473, randTranslation
8, 2, 0.06491131919525417, 0, -12.080509396298789, 1149.4993122300357, 0.7006879517903377, 0, -0.47680694381769473, randTranslation
9, 4, 0.0604437547670837, 0, -12.080509396298789, 1149.4993122300357, 0.7006879517903377, 0.7024653441596713, -0.47680694381769473, randTranslation
9, 5, 0.049051618150951264, 0, -12.080509396298789, 1149.4993122300357, 0.7006879517903377, 0.7024653441596713, -0.17174323439915162, randTranslation
11, 4, 0.046428150255987836, 0, -12.080509396298789, 1149.4993122300357, 0.7006879517903377, 0.3851649217135842, -0.17174323439915162, randTranslation
13, 3, 0.0425042784620554, 0, -12.080509396298789, 1149.4993122300357, 0.8236993076172923, 0.3851649217135842, -0.17174323439915162, randTranslation
18, 4, 0.041442874484351105, 0, -12.080509396298789, 1149.4993122300357, 0.8236993076172923, 0.4536285381686225, -0.17174323439915162, randTranslation
21, 2, 0.040964103971051095, 0, -12.080509396298789, 998.0478291531448, 0.8236993076172923, 0.4536285381686225, -0.17174323439915162, randTranslation
23, 3, 0.03871963606494513, 0, -12.080509396298789, 998.0478291531448, 0.8734172132598432, 0.4536285381686225, -0.17174323439915162, randTranslation
29, 3, 0.03524093501947429, 0, -12.080509396298789, 998.0478291531448, 1.130883303202932, 0.4536285381686225, -0.17174323439915162, randTranslation
32, 5, 0.0349330163425035, 0, -12.080509396298789, 998.0478291531448, 1.130883303202932, 0.4536285381686225, -0.1424149898372573, randTranslation
37, 3, 0.03459613752605933, 0, -12.080509396298789, 998.0478291531448, 1.0671266407503344, 0.4536285381686225, -0.1424149898372573, randTranslation
39, 2, 0.03440199200135515, 0, -12.080509396298789, 978.3759723214223, 1.0671266407503344, 0.4536285381686225, -0.1424149898372573, randTranslation
41, 3, 0.03434538339532763, 0, -12.080509396298789, 978.3759723214223, 1.0978022222206836, 0.4536285381686225, -0.1424149898372573, randTranslation
51, 0, 0.03332454033124476, -2.66885244472137, -12.080509396298789, 978.3759723214223, 1.0978022222206836, 0.4536285381686225, -0.1424149898372573, randTranslation
51, 4, 0.033121907836919866, -2.66885244472137, -12.080509396298789, 978.3759723214223, 1.0978022222206836, 0.46739774080661434, -0.1424149898372573, randTranslation
51, 5, 0.03310826729154128, -2.66885244472137, -12.080509396298789, 978.3759723214223, 1.0978022222206836, 0.46739774080661434, -0.1442852483485979, randTranslation
61, 4, 0.03297082291394759, -2.66885244472137, -12.080509396298789, 978.3759723214223, 1.0978022222206836, 0.47960870451420146, -0.1442852483485979, randTranslation
69, 5, 0.03293929168016949, -2.66885244472137, -12.080509396298789, 978.3759723214223, 1.0978022222206836, 0.47960870451420146, -0.17071734981824793, randTranslation
100, 3, 0.03291005122475577, -2.66885244472137, -12.080509396298789, 978.3759723214223, 1.090074063221432, 0.47960870451420146, -0.17071734981824793, randTranslation
121, 2, 0.03288767812682755, -2.66885244472137, -12.080509396298789, 959.6584964666038, 1.090074063221432, 0.47960870451420146, -0.17071734981824793, randTranslation
143, 4, 0.03282555715782455, -2.66885244472137, -12.080509396298789, 959.6584964666038, 1.090074063221432, 0.49307459362526185, -0.17071734981824793, randTranslation
147, 0, 0.03158478113573278, -7.526343861786744, -12.080509396298789, 959.6584964666038, 1.090074063221432, 0.49307459362526185, -0.17071734981824793, randTranslation
154, 5, 0.03137599059098137, -7.526343861786744, -12.080509396298789, 959.6584964666038, 1.090074063221432, 0.49307459362526185, -0.18918379070759905, randTranslation
171, 4, 0.03128719032280252, -7.526343861786744, -12.080509396298789, 959.6584964666038, 1.090074063221432, 0.512996646590048, -0.18918379070759905, randTranslation
177, 2, 0.03107979210630109, -7.526343861786744, -12.080509396298789, 991.866465067466, 1.090074063221432, 0.512996646590048, -0.18918379070759905, randTranslation
182, 4, 0.031062934836795595, -7.526343861786744, -12.080509396298789, 991.866465067466, 1.090074063221432, 0.5306323733677127, -0.18918379070759905, randTranslation
222, 5, 0.031062630423128196, -7.526343861786744, -12.080509396298789, 991.866465067466, 1.090074063221432, 0.5306323733677127, -0.19001341064123678, randTranslation
245, 3, 0.031000812474555904, -7.526343861786744, -12.080509396298789, 991.866465067466, 1.056710760615274, 0.5306323733677127, -0.19001341064123678, randTranslation
273, 0, 0.030356910330240808, -15.26939589453713, -12.080509396298789, 991.866465067466, 1.056710760615274, 0.5306323733677127, -0.19001341064123678, randTranslation
281, 5, 0.029077565614940782, -15.26939589453713, -12.080509396298789, 991.866465067466, 1.056710760615274, 0.5306323733677127, -0.2890483499010159, randTranslation
291, 3, 0.028916747403306485, -15.26939589453713, -12.080509396298789, 991.866465067466, 1.0304413731205622, 0.5306323733677127, -0.2890483499010159, randTranslation
293, 2, 0.028679582841129408, -15.26939589453713, -12.080509396298789, 1025.2138890048907, 1.0304413731205622, 0.5306323733677127, -0.2890483499010159, randTranslation
311, 4, 0.028669361766567134, -15.26939589453713, -12.080509396298789, 1025.2138890048907, 1.0304413731205622, 0.522146705800826, -0.2890483499010159, randTranslation
